,,,,,,УТВЕРЖДАЮ,,,
,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,
,,,,,,___________________________ О.А.Чурбанова,,,
,,,,,,"""_______"" _________________________ 202_ г. ",,,
,,,,,,,,,
                               Расписание учебных занятий для 10 классов                           ,,,,,,,,,
     на  2025-2026 учебный год,,,,,,,,,
,,10а (техн),каб,10е (универс),каб,10и (соц),каб,,
понедельник,
,1,Разговоры о важном,316,Разговоры о важном,215,Разговоры о важном,207,1,понедельник
,2,Алгебра,316,Физическая культура,215,Русский язык,210,2,
,3,История,103,Биология (т)/Информатика (е),306/302,История,101,3,
,4,Геометрия,316,Английский язык,318/320,Вероятность и статистика,312,4,
,5,Русский язык,211,Геометрия (т)/Химия (е),313/305,Алгебра,312,5,
,6,Литература,211,Русский язык,215,Информатика,311,6,
,7,ОБЗР,118,Индивидуальный проект,112,Английский язык,319/320,7,
,8,Физическая культура,с/з,,,,,8,
,,,,,,,,,
вторник,
,1,Английский язык,318/319,История,101,Обществознание,311,1,вторник
,2,Информатика,302,Обществознание,311,Английский язык,319/320,2,
,3,Индивидуальный проект,112,Информатика (т)/Биология (е),302/306,Обществознание,311,3,
,4,Обществознание,311,Алгебра,313,Литература,210,4,
,5,Физика,304,Литература,215,Химия,305,5,
,6,Химия,305,Вероятность и статистика,313,История,101,6,
,7,Информатика,302,Физическая культура,215,Геометрия,312,7,
,8,,,ОБЗР,118,Физическая культура,с/з,8,
,,,,,,,,,
среда,
,1,Русский язык,211,Физика,304,Русский язык,210,1,среда
,2,Алгебра,316,Литература,215,Литература,210,2,
,3,Литература,211,История,101,Биология,306,3,
,4,География,207,Русский язык,215,Физика,301,4,
,5,Английский язык,318/319,Геометрия (т)/Химия (е),313/305,Алгебра,312,5,
,6,Биология,306,Алгебра,313,Геометрия,312,6,
,7,Геометрия,316,Английский язык,318/320,ОБЗР,118,7,
,8,,,,,,,8,
,,,,,,,,,
четверг,
,1,Россия - мои горизонты,316,Россия - мои горизонты,215,Россия - мои горизонты,207,1,четверг
,2,Информатика,302,География,207,Родная рус. литература,210,2,
,3,Информатика,302,Химия (т)/Геометрия (е),305/316,География,207,3,
,4,История,103,Алгебра,313,Физическая культура,с/з,4,
,5,Родная рус.литература,211,Родной рус. язык,215,Индивидуальный проект,112,5,
,6,Литература,211,Информатика (т)/Биология (е),302/306,Алгебра,312,6,
,7,Алгебра,316,Информатика (т)/Биология (е),302/306,Английский язык,319/320,7,
,8,,,Кванториум химия,215,,,,
,,,,,,,,,
пятница,
,1,Вероятность и статистика,316,Английский язык,318/320,Обществознание,311,1,пятница
,2,Обществознание,311,Алгебра,313,Родной рус. язык,210,2,
,3,Геометрия,316,Физика,304,Обществознание,311,3,
,4,Физическая культура,с/з,Обществознание,311,Литература,207,4,
,5,Английский язык,318/319,Литература,215,Алгебра,312,5,
,6,Алгебра,316,Геометрия (т)/Химия (е),313/305,Геометрия,312,6,
,7,Физика,304,Информатика (т)/Геометрия (е),302/316,Физика,301,7,
,8,,,,,,,8,
,,36,,36,,36,,,
