,,,,УТВЕРЖДАЮ,,,,,,,,,,УТВЕРЖДАЮ,,,,,,,,,,УТВЕРЖДАЮ,,,
,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,
,,,,___________________________ О.А.Чурбанова,,,,,,,,,,___________________________ О.А.Чурбанова,,,,,,,,,,___________________________ О.А.Чурбанова,,,
,,,,"""_______"" _________________________ 202_ г. ",,,,,,,,,,"""_______"" _________________________ 202_ г. ",,,,,,,,,,"""_______"" _________________________ 202_ г. ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                     Расписание учебных занятий для 7 классов                           ,,,,,,,,,,                                     Расписание учебных занятий для 7 классов                           ,,,,,,,,,,                                     Расписание учебных занятий для 7 классов                           ,,,,,,,
     на  2025-2026 учебный год,,,,,,,,,,     на  2025-2026 учебный год,,,,,,,,,,     на  2025-2026 учебный год,,,,,,,
,,7а ,каб,7е,каб,7и,каб,,,,,7э,каб,7ю,каб,7я,каб,,,,,7с,каб,7т,каб,,
понедельник,
,2,Русский язык,216,Родная (рус./чув.) литература,218/204,Труд,116/119,2,,,2,Музыка,220,ИЗО,102,Геометрия ,315,2,,,2,Физика,304,Физическая культура,с/з,2,
,3,Физическая культура,с/з,Биология,103,Труд,116/119,3,,,3,Физика,301,Физическая культура,с/з,История,103,3,,,3,Литература,214,Русский язык,216,3,
,4,Алгебра,312,Русский язык,216,ИЗО,118,4,,,4,Литература,218,Музыка,220,Физика,304,4,,,4,Алгебра,309,Геометрия,310,4,
,5,Английский язык,314/320,Физика,304,География,207,5,,,5,Геометрия,315,История,103,Информатика,302,5,,,5,ИЗО,118,Музыка,220,5,
,6,Моя семья,112,ИЗО,103,Литература,217,6,,,6,Родной рус. язык,218,Алгебра,317,Физическая культура,с/з,6,,,6,Родная (рус./чув.) литература,313/204,Физика,304,6,
,7,География,207,Алгебра,317,Вероятность и статистика,309,7,,,7,ИЗО,220,Физика,301,Литература,217,7,,,7,Русский язык,214,Литература ,216,7,
,8,,,,,,,8,,,8,,,,,,,8,,,8,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
пятница,
,1,Литература,216,География,207,Английский язык,308/314,1,пятница,пятница,1,Труд,116/119,Родной (рус./чув.) язык,301/204,Русский язык,217,1,пятница,пятница,1,Информатика,302,История,103,1,пятница
,2,Вероятность и статистика,312,Геометрия,317,Геометрия,309,2,,,2,Труд,116/119,Русский язык,212,Алгебра,315,2,,,2,Английский язык,207/308,Английский язык,314/319,2,
,3,Физическая культура,с/з,История,103,География,207,3,,,3,Русский язык,218,Геометрия,317,Труд,116/119,3,,,3,Геометрия,309,Русский язык,216,3,
,4,История,102,Физическая культура,с/з,Русский язык,217,4,,,4,Английский язык,318/320,Английский язык,308/319,Труд,116/119,4,,,4,Русский язык,214,Родной рус. язык,315,4,
,5,География,207,Английский язык,119/320,История,102,5,,,5,Родная рус. литература,313,Моя семья,112,Английский язык,308/314,5,,,5,История,103,Вероятность и статистика,310,5,
,6,ИЗО,118,Информатика,302,Музыка,220,6,,,6,История,103,География,207,Физическая культура,с/з,6,,,6,Моя семья,112,Литература ,216,6,
,7,Музыка,220,Литература,218,Физическая культура,с/з,7,,,7,Алгебра,315,Литература,212,Родной рус. язык,216,7,,,7,География,207,ИЗО,118,7,
,8,,,,,,,8,,,8,,,,,,,8,,,8,,,,,8,
,,35,,35,,35,,,,,,,,35,,35,,,,,,35,,,,,
